Recording	Dzimums	Dzirdes_traucējumi	Labrocis_vai_kreilis	Muzikālā_izglītība	Pazīst_nošu_partitūru	Spēlē_klavieres	Vecums	Participant	TOI	Interval	Stimulus_template	Row_number	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	CircleTop	1	ObjectPosition	2	2017	94438		1723	1723	1	1723	2,7582	10,46487	1	281,45	281,45	281,45		7,12	7,12	7,12	7,12	249	92,6	281,45	163,83	7,12
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	CircleTop	2	ObjectPosition	4	2033	97072		1667	833	2	1140	2,82639	10,48957	3	205,11	114,24	340,66	119,64	5,1	3,04	8,06	15,29	188	92,96	340,66	187	8,06
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	CircleTop	1	ObjectPosition	4	2017	131992		347	173	2	213	3,30956	10,51885	3	87,31	39,17	157,74	62,35	3,02	1,3	6,12	9,05	307	92,65	157,74	101,78	6,12
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	CircleTop	2	ObjectPosition	2	2017	134642		1267	422	3	160	3,58624	10,22495	3	101,69	89,12	111,35	11,4	3,21	1,81	5,16	9,63	184	92,81	111,35	81,07	5,16
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	CircleTop	1	ObjectPosition	4	2017	243332		233	233	1	233	3,09311	11,54884	2	147,98	81,25	214,72	94,38	3,7	1,64	5,77	7,41	351	93,09	214,72	134,31	5,77
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	CircleTop	2	ObjectPosition	2	2017	248898		847	212	4	207	2,73767	11,78043	2	146,86	73,59	220,14	103,63	3,97	2,04	5,89	7,93	168	93,11	220,14	127,22	5,89
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	CircleTop	1	ObjectPosition	2	2017	110431		1260	315	4	547	2,41253	10,50616	2	138,86	83,03	194,69	78,95	3,73	1,48	5,98	7,46	191	92,51	194,69	118,92	5,98
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	CircleTop	2	ObjectPosition	4	2017	113064		1157	193	6	197	2,51152	10,50875	3	110,3	56,9	181,37	64,09	2,66	0,06	5,67	7,98	154	92,01	181,37	115,2	5,67
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	CircleTop	1	ObjectPosition	4	2017	151555		1620	231	7	310	2,92294	10,23894	7	134,08	37,07	212,46	67,71	3,17	0,71	5,82	22,22	186	91,76	212,46	126,59	5,82
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	CircleTop	2	ObjectPosition	2	2000	156855		1307	436	3	140	2,84656	10,1004	4	112,58	59,72	193,94	61,72	2,87	1,34	5,32	11,48	152	90,87	193,94	115,31	5,32
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	CircleTop	1	ObjectPosition	2	2033	201371		1027	513	2	180	2,64738	8,89769	3	166,97	51,86	291,78	120,25	4,16	1,36	7,32	12,49	409	89,47	291,78	174,48	7,32
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	CircleTop	2	ObjectPosition	4	2033	210721		1173	587	2	97	2,64526	8,47386	3	125,21	32,78	176,69	80,22	2,96	0,52	4,26	8,89	189	91,36	166,17	109,34	4,12
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	CircleTop	1	ObjectPosition	2	2017	191620		1240	620	2	363	2,51493	9,96796	2	124,82	115,24	134,39	13,54	2,53	2,52	2,54	5,06	594	79,66	115,24	75,73	2,54
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	CircleTop	2	ObjectPosition	4	2017	197237		1297	432	3	147	2,56733	10,06242	2	146,66	87,84	205,47	83,18	4,01	1,67	6,35	8,03	301	91,51	205,47	138,6	6,35
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	CircleTop	1	ObjectPosition	4	2017	106303		1273	637	2	497	2,75153	10,13146	3	104,19	37,39	214,03	95,87	3,12	0,89	6,97	9,36	233	92,48	214,03	148,37	6,97
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	CircleTop	2	ObjectPosition	2	2017	108953		0		0				1	200,39	200,39	200,39		6,69	6,69	6,69	6,69	183	92,03	200,39	137,81	6,69
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	CircleTop	1	ObjectPosition	4	2017	151575		557	278	2	210	2,98258	9,66716	2	76,27	38,5	114,05	53,42	1,81	0,77	2,85	3,62	206	87,96	114,05	79,52	2,85
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	CircleTop	2	ObjectPosition	2	2017	160008		393	393	1	393	2,80051	9,72497	1	42,15	42,15	42,15		0,9	0,9	0,9	0,9	716	94,6	42,15	38,77	0,9
Recording10	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant10	CircleTop	1	ObjectPosition	4	2000	160828		1373	458	3	583	3,49848	11,39099	4	160,78	63,41	310,74	119,31	5,6	1,11	12,58	22,41	178	88,95	202,88	129,22	7,16
Recording10	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant10	CircleTop	2	ObjectPosition	2	2017	168762		1380	690	2	840	3,52076	11,42136	3	89,33	40,63	178,11	77,01	2,86	1,19	6,06	8,59	141	89,35	178,11	117,6	6,06
