Recording	Dzimums	Dzirdes_traucējumi	Labrocis_vai_kreilis	Muzikālā_izglītība	Pazīst_nošu_partitūru	Spēlē_klavieres	Vecums	Participant	TOI	Interval	Stimulus_template	Row_number	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	CircleBig	1	ObjectSize	1	2017	105038		0		0				0													
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	CircleBig	2	ObjectSize	3	2033	107688		0		0				0													
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	CircleBig	1	ObjectSize	3	2017	142542		177	177	1	177	3,85334	10,35113	2	48,96	38,92	59,01	14,21	2	1,59	2,42	4,01	437	83,17	59,01	47,15	2,42
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	CircleBig	2	ObjectSize	1	2017	148208		80	80	1	80	3,43616	5,99694	1	60,8	60,8	60,8		0,55	0,55	0,55	0,55	954	344,49	60,8	46,92	0,55
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	CircleBig	1	ObjectSize	3	2017	259882		410	102	4	93	2,7842	11,92235	1	30,33	30,33	30,33		0,32	0,32	0,32	0,32	951	134,03	30,33	30,33	0,32
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	CircleBig	2	ObjectSize	1	2017	262532		300	300	1	300	2,90612	11,28696	1	122,44	122,44	122,44		2,55	2,55	2,55	2,55	1078	318,34	122,44	97,28	2,55
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	CircleBig	1	ObjectSize	1	2017	126281		1120	560	2	447	2,46411	10,85055	3	85,16	32,36	140,69	54,21	2,03	0,61	3,39	6,1	324	102,24	82,43	55,35	2,1
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	CircleBig	2	ObjectSize	3	2017	128914		1157	578	2	633	2,4918	10,61252	2	76,67	36,58	116,76	56,69	2,27	1,39	3,15	4,55	931	93,6	36,58	34,48	1,39
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	CircleBig	1	ObjectSize	3	2000	167405		1353	271	5	337	2,89304	9,24565	5	103,03	35,9	164,92	49,08	2,59	0,66	4,83	12,94	6	78,96	35,9	34,47	0,66
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	CircleBig	2	ObjectSize	1	2033	170038		1320	220	6	170	2,93739	9,38553	7	83,16	47,54	146,77	36,69	2,16	0,86	3,83	15,11	259	178,04	64,5	51,19	1,6
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	CircleBig	1	ObjectSize	1	2033	213371		0		0				0													
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	CircleBig	2	ObjectSize	3	2017	216021		0		0				0													
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	CircleBig	1	ObjectSize	1	2033	203004	Space	797	266	3	257	2,77338	8,94219	3	400,53	178,64	514,05	192,18	20,12	3,38	29,53	60,37	1004	264,5	514,05	307,13	27,46
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	CircleBig	2	ObjectSize	3	2017	208337		1123	281	4	457	2,72931	10,63261	1	127,86	127,86	127,86		2,14	2,14	2,14	2,14	1394	67,42	127,86	93,28	2,14
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	CircleBig	1	ObjectSize	1	2017	117436		0		0				1	47,45	47,45	47,45		1,19	1,19	1,19	1,19	407	117,43	47,45	41,89	1,19
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	CircleBig	2	ObjectSize	3	2017	125370		0		0				1	85,42	85,42	85,42		1,77	1,77	1,77	1,77	540	107,22	85,42	64,54	1,77
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	CircleBig	1	ObjectSize	1	2000	162642		0		0				0													
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	CircleBig	2	ObjectSize	3	2017	167908		0		0				0													
Recording10	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant10	CircleBig	1	ObjectSize	1	2033	174045		1363	273	5	420	3,57404	11,25432	6	120,75	43,64	178,17	52,2	3,86	1,03	7,54	23,17	268	216,34	88,87	68,5	1,77
Recording10	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant10	CircleBig	2	ObjectSize	3	2017	176695		870	217	4	297	3,6531	10,92812	4	80,85	39,82	115,02	35,7	2,42	1,15	3,68	9,66	841	259,44	106,07	79,1	3,68
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	CircleBig	1	ObjectSize	3	2017	227529		1437	1437	1	1437	2,41044	7,41646	2	56,49	51,51	61,47	7,04	1,4	0,79	2,01	2,8	362	88,13	61,47	51,97	2,01
