Recording	Dzimums	Dzirdes_traucējumi	Labrocis_vai_kreilis	Muzikālā_izglītība	Pazīst_nošu_partitūru	Spēlē_klavieres	Vecums	Participant	TOI	Interval	Stimulus_template	Row_number	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	CircleBottom	1	ObjectPosition	3	2000	89155		0		0				1	282,8	282,8	282,8		8,66	8,66	8,66	8,66	249	269,04	282,8	176,68	8,66
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	CircleBottom	2	ObjectPosition	1	2033	91772		0		0				1	209,74	209,74	209,74		6,68	6,68	6,68	6,68	248	268,45	209,74	138,84	6,68
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	CircleBottom	1	ObjectPosition	1	2000	128892		230	230	1	230	3,62505	10,2524	2	108,5	49,52	167,49	83,42	5,13	2,37	7,9	10,27	334	269,53	167,49	113,96	7,9
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	CircleBottom	2	ObjectPosition	3	2000	137275		160	160	1	160	3,56615	10,36742	2	121,5	58,8	184,2	88,67	5,17	2,65	7,7	10,35	194	266,85	184,2	120,43	7,7
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	CircleBottom	1	ObjectPosition	1	2017	245982		1203	602	2	1103	2,95939	11,81755	3	190,34	126,43	278,27	78,72	5,5	4	8	16,5	198	268,55	278,27	160,66	8
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	CircleBottom	2	ObjectPosition	3	2017	251548		1657	552	3	1037	2,77538	11,9485	3	154,1	90,46	267,18	98,19	4,39	2,96	7,16	13,18	201	268,45	267,18	153,43	7,16
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	CircleBottom	1	ObjectPosition	1	2017	115714		527	263	2	223	2,45041	10,98096	2	267,79	93,37	442,2	246,66	7,95	2,37	13,53	15,9	247	270,44	442,2	243,88	13,53
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	CircleBottom	2	ObjectPosition	3	2017	118364		0		0				1	265,41	265,41	265,41		8,45	8,45	8,45	8,45	194	268,87	265,41	151,54	8,45
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	CircleBottom	1	ObjectPosition	3	2017	154205		1043	261	4	413	2,84223	8,68374	4	129,75	81,4	213,7	62,94	4,35	1,77	6,9	17,39	249	267,81	142,49	78,85	6,9
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	CircleBottom	2	ObjectPosition	1	2000	159488		1620	540	3	590	2,86099	8,66374	2	84,75	44,38	125,12	57,09	2,97	1,23	4,71	5,94	889	95,33	44,38	37,95	1,23
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	CircleBottom	1	ObjectPosition	3	2017	204038		850	425	2	323	2,68597	7,2551	3	249,24	48,32	418,09	186,96	8,86	0,56	17,9	26,57	6	185,64	48,32	40,61	0,56
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	CircleBottom	2	ObjectPosition	1	2017	208071		0		0				1	310,03	310,03	310,03		8,5	8,5	8,5	8,5	193	267,18	310,03	194,38	8,5
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	CircleBottom	1	ObjectPosition	3	2017	187837		1443	361	4	157	2,50862	10,25976	2	97,65	68,75	126,54	40,87	1,51	0,92	2,11	3,03	748	101,56	68,75	56,81	0,92
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	CircleBottom	2	ObjectPosition	1	2017	194587		1133	567	2	333	2,56755	10,19369	1	122,52	122,52	122,52		2,12	2,12	2,12	2,12	1638	247,27	122,52	85,92	2,12
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	CircleBottom	1	ObjectPosition	3	2017	112120		513	513	1	513	2,29862	9,81551	2	166,16	53,87	278,44	158,8	3,77	1,03	6,51	7,54	207	269,03	278,44	168,69	6,51
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	CircleBottom	2	ObjectPosition	1	2033	114770		1603	1603	1	1603	2,55801	9,58753	2	197,02	121,64	272,39	106,59	6,18	5,74	6,61	12,35	223	268	272,39	168,96	6,61
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	CircleBottom	1	ObjectPosition	3	2017	154208		163	163	1	163	2,97535	9,88918	2	178,52	170,71	186,33	11,05	3,74	3,7	3,78	7,47	196	266,27	186,33	128,11	3,7
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	CircleBottom	2	ObjectPosition	1	2017	157375		933	467	2	197	2,87352	9,5248	3	130,65	49,49	223,69	87,71	2,72	0,68	5,13	8,15	196	265,95	223,69	142,37	5,13
