Recording	Dzimums	Dzirdes_traucējumi	Labrocis_vai_kreilis	Muzikālā_izglītība	Pazīst_nošu_partitūru	Spēlē_klavieres	Vecums	Participant	TOI	Interval	Stimulus_template	Row_number	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	CirclesVertical	1	VerticalObjects	2	2017	81255		1377	688	2	440	2,68814	10,44698	3	344,5	298,5	409,06	57,57	10,49	8,23	11,99	31,48	162	2,61	409,06	240,73	11,99
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	CirclesVertical	2	VerticalObjects	1	2017	83888		560	187	3	197	2,89677	10,36274	3	231,63	171,23	274,15	53,74	6,08	3,82	7,3	18,23	765	265,02	249,51	161,37	7,11
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	CirclesVertical	3	VerticalObjects	3	2017	86521		0		0				1	309,64	309,64	309,64		7,11	7,11	7,11	7,11	1442	91,4	309,64	185,77	7,11
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	CirclesVertical	1	VerticalObjects	1	2017	120492		0		0				0													
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	CirclesVertical	2	VerticalObjects	3	2000	123142		167	83	2	80	3,66525	7,867	2	39,79	39,25	40,33	0,76	0,9	0,86	0,94	1,79	131	286,12	39,25	34,99	0,94
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	CirclesVertical	3	VerticalObjects	2	2017	126242		0		0				0													
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	CirclesVertical	1	VerticalObjects	1	2000	234715		450	225	2	263	2,7784	11,22751	3	122,18	46,21	178,41	68,28	3,66	1,05	5,54	10,97	781	93,96	141,93	90,55	4,38
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	CirclesVertical	2	VerticalObjects	2	2017	237332		0		0				1	41,81	41,81	41,81		0,74	0,74	0,74	0,74	1558	286,65	41,81	36,62	0,74
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	CirclesVertical	3	VerticalObjects	3	2033	240315		0		0				0													
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	CirclesVertical	1	VerticalObjects	3	2017	102164		1200	300	4	550	2,44766	10,76904	5	113,58	52,52	175,71	51,5	3,37	1,27	6,06	16,86	334	92,71	175,71	124,34	6,06
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	CirclesVertical	2	VerticalObjects	2	2017	104814		1203	301	4	257	2,63949	10,75893	4	99,21	32,8	187,2	74,67	2,97	0,79	6,24	11,88	261	92,09	187,2	119,31	6,24
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	CirclesVertical	3	VerticalObjects	1	2017	107464		1287	322	4	267	2,58919	10,73985	5	156,2	81,42	194,71	43,47	5,18	2,54	7,77	25,92	284	92,47	173,11	112,74	5,41
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	CirclesVertical	1	VerticalObjects	1	2033	143622		1200	240	5	233	2,92343	9,7598	6	206,46	93,62	300,59	71,12	5,3	2,34	9,2	31,78	422	97,74	93,62	67,04	2,34
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	CirclesVertical	2	VerticalObjects	2	2017	146288		993	166	6	143	3,0584	10,00975	7	137,69	42,39	265,56	74,9	4,22	0,82	8,48	29,52	362	93,86	133,31	93,3	4,19
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	CirclesVertical	3	VerticalObjects	3	2000	148922		737	246	3	263	3,04726	9,68632	4	143,58	45,99	200	67,44	3,88	1,86	5,05	15,52	299	94,01	170,93	110,4	4,34
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	CirclesVertical	1	VerticalObjects	3	2000	193438		0		0				1	388,7	388,7	388,7		14,99	14,99	14,99	14,99	1289	67,04	388,7	241,32	14,99
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	CirclesVertical	2	VerticalObjects	2	2017	196071		750	187	4	77	2,72515	8,52598	4	202,65	83,05	328,4	126,44	5,93	1,43	10,82	23,73	683	110,5	328,4	193,38	10,82
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	CirclesVertical	3	VerticalObjects	1	2017	198721		680	340	2	430	2,85282	8,11827	3	91,66	72,12	111,55	19,72	1,99	1,32	2,64	5,98	723	267,73	91,31	61,89	2,02
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	CirclesVertical	1	VerticalObjects	2	2017	175904		1023	205	5	297	2,52645	10,46871	2	200,83	103,88	297,78	137,1	4,28	2,12	6,44	8,56	938	269,71	297,78	178,6	6,44
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	CirclesVertical	2	VerticalObjects	3	2033	179937		1260	180	7	120	2,6055	10,34354	4	161,48	104,33	231,98	59,67	4,4	2,09	7,8	17,59	621	92,56	120,46	80,61	2,86
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	CirclesVertical	3	VerticalObjects	1	2000	184004		1257	180	7	110	2,49182	10,4363	7	229,38	110,3	428,12	118,39	5,73	1,82	11,59	40,1	478	91,37	132,82	90,48	2,68
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	CirclesVertical	1	VerticalObjects	2	2017	98370		1000	333	3	290	2,38391	10,08206	3	147,61	108,49	198,52	46,16	4,03	2,53	5,11	12,1	830	277,72	108,49	82,66	2,53
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	CirclesVertical	2	VerticalObjects	3	2017	101020		863	288	3	347	2,72595	10,05567	3	159,58	92,01	196,43	58,6	4,42	1,82	6,72	13,27	503	90,72	190,32	121,2	6,72
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	CirclesVertical	3	VerticalObjects	1	2017	103670		297	297	1	297	2,56902	10,10289	2	195,52	136,87	254,18	82,96	7,01	5,85	8,16	14,01	1247	90,07	136,87	82,9	5,85
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	CirclesVertical	1	VerticalObjects	3	2033	143108		0		0				1	43,96	43,96	43,96		0,68	0,68	0,68	0,68	553	105,72	43,96	40,57	0,68
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	CirclesVertical	2	VerticalObjects	2	2000	146275		1277	255	5	343	3,2753	9,6213	3	81,77	56,05	119,08	33,08	2,15	0,89	4,23	6,45	419	115,68	56,05	48,44	0,89
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	CirclesVertical	3	VerticalObjects	1	2017	148925		343	172	2	120	3,03981	9,59428	3	114,05	81,7	163,4	43,42	2,72	2,16	3,72	8,15	499	96,97	81,7	62,3	2,27
Recording10	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant10	CirclesVertical	1	VerticalObjects	3	2017	152445		837	279	3	177	3,41131	11,21455	4	137,29	91,83	189,03	51,12	4,4	2,33	6,55	17,58	948	89,17	173,36	103,65	6,55
Recording10	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant10	CirclesVertical	2	VerticalObjects	1	2033	155078		810	202	4	127	3,5804	11,41938	5	103,54	57,59	174,35	55,02	3,33	1,5	5,99	16,63	865	107,08	59,92	45,35	1,96
Recording10	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant10	CirclesVertical	3	VerticalObjects	2	2017	158178		980	245	4	333	3,62121	11,44323	5	133,21	59,57	197,99	56,95	4,45	0,88	7,63	22,26	818	6,83	59,57	48,82	0,88
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	CirclesVertical	1	VerticalObjects	3	2017	206363		1217	243	5	403	2,39131	7,53043	4	205,32	117,97	314,11	82,52	6,69	2,37	11,69	26,76	333	91,16	213,71	132,38	6,14
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	CirclesVertical	2	VerticalObjects	2	2017	209013		1100	367	3	313	2,62043	7,86138	4	132,4	35,92	222,78	79,68	3,63	0,82	5,95	14,52	393	87,75	163,31	103,4	5,33
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	CirclesVertical	3	VerticalObjects	1	2017	211663		1173	235	5	127	2,55998	7,60871	4	139,71	32,49	230,7	98,53	4,17	0,7	8,41	16,67	396	310,31	79,93	61,92	1,5
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	CirclesVertical	1	VerticalObjects	3	2033	178631		1213	243	5	153	2,5357	7,40572	5	100,97	74,56	117,23	17,09	2,21	1,47	2,65	11,05	274	87,83	105,44	81,55	2,26
