Recording	Dzimums	Dzirdes_traucējumi	Labrocis_vai_kreilis	Muzikālā_izglītība	Pazīst_nošu_partitūru	Spēlē_klavieres	Vecums	Participant	TOI	Interval	Stimulus_template	Row_number	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	VisualSearchBottom	1	VisualSearch	1	19909	125922		15073	359	42	370	3,06681	10,6821	43	311,65	59,3	573,03	124,84	8,65	0,92	19,37	371,91	515	92,97	365,12	210,41	8,43
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	VisualSearchBottom	2	VisualSearch	5	759	150688		163	163	1	163	2,80134	10,20718	1	478,23	478,23	478,23		17,96	17,96	17,96	17,96	636	90,86	478,23	304,8	17,96
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	VisualSearchBottom	1	VisualSearch	1	783	155475		133	133	1	133	3,42031	10,53629	2	98,01	42,26	153,75	78,84	5,33	0,97	9,68	10,65	244	251,95	153,75	107,27	9,68
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	VisualSearchBottom	2	VisualSearch	5	1481	160225		407	203	2	207	3,79134	10,6776	1	316,95	316,95	316,95		16,33	16,33	16,33	16,33	547	261,17	316,95	181,17	16,33
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	VisualSearchBottom	1	VisualSearch	1	975	274432		500	167	3	197	3,22978	12,0408	4	209,06	84,55	358,49	112,81	4,48	1,54	8,64	17,92	244	298,78	200,8	140,53	3,76
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	VisualSearchBottom	2	VisualSearch	5	628	276098		180	180	1	180	3,21657	12,24004	2	213,39	155,28	271,51	82,19	5	2,86	7,13	9,99	238	264,27	271,51	164,59	7,13
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	VisualSearchBottom	1	VisualSearch	5	9978	135748		7630	238	32	227	2,74647	10,74644	30	257,93	98,67	510,63	116,12	7,01	2,18	16,33	210,38	281	108,07	283,95	159,28	7,9
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	VisualSearchBottom	2	VisualSearch	1	826	152048		167	167	1	167	2,93094	10,57553	2	332,81	123,27	542,35	296,33	10,84	2,59	19,08	21,68	194	74,6	123,27	81,08	2,59
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	VisualSearchBottom	1	VisualSearch	5	1512	178005		1067	213	5	207	2,82626	9,03854	6	244,97	49,22	467,6	151,33	6,64	0,87	13,08	39,84	199	107,24	176,86	122,46	5,12
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	VisualSearchBottom	2	VisualSearch	1	1537	183572		970	139	7	73	3,29997	10,11285	8	266,72	70,38	525	143,26	6,71	1,41	17,22	53,71	232	27,39	112,28	79,01	2,59
