Recording	Dzimums	Dzirdes_traucējumi	Labrocis_vai_kreilis	Muzikālā_izglītība	Pazīst_nošu_partitūru	Spēlē_klavieres	Vecums	Participant	TOI	Interval	Stimulus_template	Row_number	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	VisualSearchMid	1	VisualSearch	2	1264	148755		393	131	3	143	3,03238	10,70553	3	249,86	119,89	347,41	117,18	5,87	2,03	7,87	17,62	323	84,41	282,28	175,66	7,72
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	VisualSearchMid	1	VisualSearch	2	1367	162375		0		0				0													
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	VisualSearchMid	1	VisualSearch	2	628	273115		330	165	2	197	3,18451	11,75892	3	143,37	83,87	176,58	51,64	2,79	1,37	3,91	8,37	78	82,11	169,65	118,09	3,09
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	VisualSearchMid	1	VisualSearch	2	757	153564		173	87	2	67	2,74151	10,97826	3	221,9	139,65	298,62	79,63	5,49	2,81	8,1	16,48	280	270,42	298,62	178,88	8,1
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	VisualSearchMid	1	VisualSearch	2	754	182155		140	140	1	140	3,18493	9,73636	1	43,76	43,76	43,76		0,67	0,67	0,67	0,67	85	80,66	43,76	39,45	0,67
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	VisualSearchMid	1	VisualSearch	2	1143	236921		677	169	4	163	2,99053	8,27286	5	256,03	56,4	392,47	134,11	6,56	0,78	11,46	32,78	222	266,47	357,06	233,24	11,46
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	VisualSearchMid	1	VisualSearch	2	930	222787		347	173	2	173	2,76356	10,50202	1	518,29	518,29	518,29		27,79	27,79	27,79	27,79	654	261,02	518,29	321,68	27,79
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	VisualSearchMid	1	VisualSearch	2	788	142220		357	178	2	87	2,96429	9,89743	3	186,08	36,04	299,17	135,4	4,35	0,54	6,75	13,04	320	271,85	299,17	190,16	6,75
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	VisualSearchMid	1	VisualSearch	2	977	183608		323	108	3	87	3,31756	9,35174	2	72,61	39,52	105,69	46,79	1,22	0,59	1,86	2,45	159	48,05	39,52	37,06	0,59
Recording10	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant10	VisualSearchMid	1	VisualSearch	2	6589	188512		4987	262	19	160	3,54509	11,38192	19	125,87	44,5	214,59	44,76	3,17	0,67	6,47	60,21	334	5,98	75,51	55,52	1,66
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	VisualSearchMid	1	VisualSearch	2	2061	253063		367	183	2	233	1,34523	1,98865	2	128,86	126,44	131,29	3,43	3,29	3,16	3,41	6,57	1279	176,27	131,29	102,99	3,16
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	VisualSearchMid	1	VisualSearch	2	2584	245765		1593	159	10	247	2,89926	7,39756	7	182,35	43,57	375,08	101,31	5,71	0,7	17,79	39,96	302	226,64	43,57	40,59	0,7
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	VisualSearchMid	1	VisualSearch	2	1623	224014		1007	252	4	233	3,05759	10,43656	5	185,76	77,86	337,47	94,05	4,14	1,37	8,71	20,72	224	269,22	77,86	60,8	1,37
Recording14	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant14	VisualSearchMid	1	VisualSearch	2	1320	202611		857	143	6	113	3,04221	11,05432	2	170,02	112,9	227,15	80,79	3,24	1,88	4,6	6,48	199	85,82	227,15	156,75	4,6
Recording15	Sieviete	Nē	labrocis	Jā	Jā	Jā	24	Participant15	VisualSearchMid	1	VisualSearch	2	578	174642		90	90	1	90	3,27067	9,60088	1	75,35	75,35	75,35		1,14	1,14	1,14	1,14	433	71,64	75,35	59,5	1,14
Recording16	Vīrietis	Nē	labrocis	Nē	Jā	Jā	35	Participant16	VisualSearchMid	1	VisualSearch	2	3367	187125		2627	876	3	210	3,42688	11,3786	3	173,08	39,16	329,37	146,39	3,54	0,71	6,85	10,61	562	358,91	150,7	107,34	3,05
Recording17	Vīrietis	Nē	labrocis	Jā	Jā	Jā	35	Participant17	VisualSearchMid	1	VisualSearch	2	1605	218366		913	304	3	217	2,97512	9,8328	0													
Recording18	Vīrietis	Nē	labrocis	Nē	Nē	Nē	25	Participant18	VisualSearchMid	1	VisualSearch	2	813	131042		487	162	3	167	2,81582	9,60772	4	150,62	77,18	277,76	94,56	3,73	1,19	8,21	14,93	36	119,45	80,03	60,35	1,61
Recording19	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant19	VisualSearchMid	1	VisualSearch	2	1707	168703		983	164	6	183	2,72323	10,07335	5	294,51	78,58	536,23	174,54	7,14	1,13	16,28	35,71	796	279,92	536,23	266,52	16,28
Recording20	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant20	VisualSearchMid	1	VisualSearch	2	1343	121061		990	247	4	247	2,88887	8,55761	4	168,77	37,82	224,69	88,72	4,79	0,53	7,93	19,18	18	268,1	222,47	146,24	7,93
Recording21	Sieviete	Nē	labrocis	Nē	Jā	Jā	25	Participant21	VisualSearchMid	1	VisualSearch	2	1095	116523		703	234	3	320	2,70722	11,10877	4	177,91	141,44	224,16	42,5	3,42	2,56	4,37	13,68	43	80,32	203,86	135,72	4,37
