Recording	Dzimums	Dzirdes_traucējumi	Labrocis_vai_kreilis	Muzikālā_izglītība	Pazīst_nošu_partitūru	Spēlē_klavieres	Vecums	Participant	TOI	Interval	Stimulus_template	Row_number	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	VisualSearchTop	1	VisualSearch	3	3238	122005		2450	408	6	190	2,89305	10,76144	7	211,07	40,51	323,91	109,02	5,68	0,68	9,9	39,78	272	115,58	263	173,74	7,67
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	VisualSearchTop	2	VisualSearch	4	1318	146505		540	135	4	117	3,22273	10,66163	5	278,01	78,6	653,45	228,94	7,27	1,36	19,51	36,35	250	265,82	319,74	213,64	9,31
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	VisualSearchTop	1	VisualSearch	4	768	156942		140	140	1	140	3,87195	10,77285	1	51,76	51,76	51,76		1,04	1,04	1,04	1,04	580	330,68	51,76	42,88	1,04
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	VisualSearchTop	2	VisualSearch	3	1170	158392		143	143	1	143	3,77648	10,72638	2	98,23	49,17	147,28	69,37	4,03	0,79	7,27	8,06	224	90,04	147,28	97,59	7,27
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	VisualSearchTop	1	VisualSearch	4	1453	269482		650	217	3	287	2,965	11,65177	3	146,8	125,03	177,88	27,63	3,2	2,7	4,05	9,59	721	348,93	177,88	115,69	4,05
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	VisualSearchTop	2	VisualSearch	3	824	271615		293	147	2	120	3,11189	11,66033	3	132,47	105,94	183,47	44,18	2,87	2,29	4,01	8,61	231	85,13	108	74,3	2,31
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	VisualSearchTop	1	VisualSearch	4	2960	146398		2293	229	10	143	2,84722	10,57383	8	271,4	136,92	590,81	141,46	7,5	3,45	17,42	59,99	277	109,53	241,45	122,98	6,72
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	VisualSearchTop	2	VisualSearch	3	793	150581		270	135	2	150	2,86738	9,93638	1	250,22	250,22	250,22		7,61	7,61	7,61	7,61	320	100,16	250,22	153,54	7,61
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	VisualSearchTop	1	VisualSearch	4	1268	180205		727	182	4	157	3,1153	9,77836	5	244	66,23	522,21	176,4	6,7	1,14	18,04	33,5	269	268,08	176,84	116,37	3,74
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	VisualSearchTop	2	VisualSearch	3	753	185772		187	187	1	187	3,30093	10,4104	2	186,63	94,45	278,81	130,36	4,48	1,94	7,01	8,96	249	96,07	278,81	170,08	7,01
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	VisualSearchTop	1	VisualSearch	3	1102	233655		333	167	2	113	2,8003	8,7799	3	160,34	54,6	324,48	144,11	3,76	0,89	8,66	11,28	389	110,66	54,6	46,23	0,89
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	VisualSearchTop	2	VisualSearch	4	1022	238755		410	137	3	87	2,90549	8,32577	4	281,91	115,62	463,59	168,09	7,55	2,05	16,03	30,19	252	173,48	115,62	81,17	2,05
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	VisualSearchTop	1	VisualSearch	4	2746	212104		1350	169	8	303	2,61548	10,16002	3	140,06	120,47	152,13	17,12	2,56	2,26	2,84	7,67	697	41,32	147,59	106,24	2,57
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	VisualSearchTop	2	VisualSearch	3	1197	216920		613	153	4	220	2,55838	9,89236	1	51,33	51,33	51,33		0,72	0,72	0,72	0,72	4	93,43	51,33	44,67	0,72
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	VisualSearchTop	1	VisualSearch	3	1393	138603		733	183	4	273	3,03601	9,92017	5	213,05	65,2	364,71	129,09	6,14	1,48	13,39	30,68	310	39,91	65,2	57,13	1,48
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	VisualSearchTop	2	VisualSearch	4	653	140903		167	167	1	167	2,77848	9,97072	2	147,5	64,65	230,35	117,16	4,44	1,36	7,52	8,88	273	85,39	230,35	150,23	7,52
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	VisualSearchTop	1	VisualSearch	3	984	181942		527	132	4	183	3,21191	7,88049	3	124,63	47,64	173,08	67,42	2,62	0,64	3,65	7,87	336	121,43	173,08	105,6	3,65
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	VisualSearchTop	2	VisualSearch	4	2206	185275		1267	141	9	133	3,35617	9,4608	3	110,58	83,98	126,59	23,19	1,92	1,53	2,17	5,75	206	19,11	83,98	63,34	1,53
Recording10	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant10	VisualSearchTop	1	VisualSearch	3	10503	195762		8410	221	38	220	3,65214	11,09364	38	158,16	32,79	352,63	79,43	5,18	0,69	15,32	196,89	394	83,34	84,9	62,28	2,38
Recording10	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant10	VisualSearchTop	2	VisualSearch	4	1183	212662		573	143	4	247	3,41198	10,28791	4	134,09	88,47	187,96	41,82	3,58	1,82	5,95	14,3	421	129,67	119,25	82,47	2,54
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	VisualSearchTop	1	VisualSearch	3	1959	244313		1597	200	8	147	2,48939	7,84334	8	199,23	58,13	291,15	81,22	5,5	1,08	9,51	43,99	22	274,37	58,13	50,63	1,08
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	VisualSearchTop	2	VisualSearch	4	4042	246946		403	202	2	227	2,77815	6,92424	1	285,51	285,51	285,51		9,1	9,1	9,1	9,1	1042	260,54	285,51	179,11	9,1
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	VisualSearchTop	1	VisualSearch	3	1907	243181		740	247	3	103	2,59979	8,00764	3	106,96	40,81	149,14	58,01	2,38	0,64	3,81	7,15	225	122,68	149,14	104,25	3,81
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	VisualSearchTop	2	VisualSearch	4	1942	257315		940	134	7	143	2,65361	7,24492	5	190,58	95,41	303,28	87,9	6,06	1,9	10,07	30,28	372	267,92	225,18	148,8	7,13
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	VisualSearchTop	1	VisualSearch	4	1009	220181	PlayPause	463	232	2	210	2,8324	10,23931	3	146,49	44,17	340,57	168,17	3,82	0,54	10,05	11,46	288	93,7	340,57	203,04	10,05
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	VisualSearchTop	2	VisualSearch	3	1477	221864		897	224	4	387	2,9269	10,6019	5	283,19	49,97	551,73	203	9,76	0,91	19,72	48,79	338	89,4	316,75	190,89	9,56
Recording14	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant14	VisualSearchTop	1	VisualSearch	3	1568	196111		517	172	3	163	2,5174	11,06608	4	183,02	61,79	273,94	93,17	3,63	0,81	6,28	14,51	263	99,54	273,94	168,75	6,28
Recording14	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant14	VisualSearchTop	2	VisualSearch	4	565	201378		130	130	1	130	3,18596	11,0808	1	63,53	63,53	63,53		1,03	1,03	1,03	1,03	519	295,95	63,53	54,81	1,03
Recording15	Sieviete	Nē	labrocis	Jā	Jā	Jā	24	Participant15	VisualSearchTop	1	VisualSearch	3	1454	172142		1067	213	5	233	3,28696	9,77562	5	105,16	47,88	167,88	47,58	2,49	0,74	4,79	12,45	387	198,93	106,41	79,24	2,34
Recording15	Sieviete	Nē	labrocis	Jā	Jā	Jā	24	Participant15	VisualSearchTop	2	VisualSearch	4	688	175892		233	117	2	130	3,5458	9,85769	3	131,75	43,97	220,09	88,06	3,28	0,63	6,21	9,85	197	346,33	43,97	40,78	0,63
Recording16	Vīrietis	Nē	labrocis	Nē	Jā	Jā	35	Participant16	VisualSearchTop	1	VisualSearch	3	1174	191158		427	142	3	130	3,24926	11,36713	3	107,11	85,85	128,44	21,3	1,96	1,46	2,38	5,88	448	9,12	107,05	81,02	2,03
