Recording	Dzimums	Dzirdes_traucējumi	Labrocis_vai_kreilis	Muzikālā_izglītība	Pazīst_nošu_partitūru	Spēlē_klavieres	Vecums	Participant	TOI	Interval	Stimulus_template	Row_number	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	Blank	1	Blank	1	2017	73305		0		0				1	61,83	61,83	61,83		0,91	0,91	0,91	0,91	1885	304,26	61,83	51,78	0,91
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	Blank	2	Blank	2	2017	75938		0		0				0													
Recording1	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant1	Blank	3	Blank	3	2017	78588		0		0				1	53	53	53		0,15	0,15	0,15	0,15	1545	158,49	53	45,9	0,15
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	Blank	1	Blank	1	2000	112542		1447	362	4	417	4,27342	9,8087	3	50,6	41,19	67,32	14,52	1,54	1,36	1,75	4,63	437	202,08	67,32	51,49	1,52
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	Blank	2	Blank	2	2000	115175		0		0				0													
Recording2	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant2	Blank	3	Blank	3	2000	117825		0		0				0													
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	Blank	1	Blank	2	2000	225832		553	553	1	553	3,31059	9,94846	2	44,95	38,8	51,1	8,7	0,79	0,69	0,89	1,58	651	158,76	51,1	43,5	0,89
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	Blank	2	Blank	3	2017	228465		0		0				0													
Recording3	Sieviete	Nē	labrocis	Nē	Nē	Nē	24	Participant3	Blank	3	Blank	1	2017	231631		0		0				0													
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	Blank	1	Blank	2	2000	93231		753	377	2	673	3,24352	10,67295	1	389,99	389,99	389,99		15,92	15,92	15,92	15,92	1663	206,52	389,99	248,51	15,92
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	Blank	2	Blank	3	2017	96397		0		0				0													
Recording4	Sieviete	Nē	labrocis	Nē	Jā	Nē	26	Participant4	Blank	3	Blank	1	2033	99047		0		0				0													
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	Blank	1	Blank	1	2017	135655		1610	179	9	270	3,52216	10,02147	8	75,84	54,91	93,55	13,01	1,71	1,19	2,1	13,68	452	202,36	80,12	61,89	1,8
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	Blank	2	Blank	3	2017	138338		1313	328	4	803	3,26634	9,84415	5	86,39	41,82	132,9	36,15	2,13	0,88	3,62	10,63	482	144,49	41,82	38,84	0,88
Recording5	Vīrietis	Nē	kreilis	Nē	Jā	Nē	26	Participant5	Blank	3	Blank	2	2017	140972		1170	234	5	373	3,14229	9,61257	5	56,78	35,37	82,76	20,15	1,14	0,64	1,85	5,72	509	155,41	37,85	34,61	0,76
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	Blank	1	Blank	3	2017	185505		0		0				0													
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	Blank	2	Blank	1	2017	188171		603	302	2	277	2,6231	9,12682	3	225,34	52,02	402,44	175,24	6,78	0,98	13,95	20,34	36	282,75	52,02	45,68	0,98
Recording6	Vīrietis	Nē	labrocis	Nē	Nē	Nē	26	Participant6	Blank	3	Blank	2	2017	190805		273	273	1	273	2,91501	9,02774	2	197,73	66,91	328,56	185,01	6,51	1,38	11,65	13,03	513	84,42	328,56	207,88	11,65
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	Blank	1	Blank	1	2033	167937		903	301	3	303	2,73816	10,59013	0													
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	Blank	2	Blank	3	2033	170587		843	281	3	80	2,78559	10,5324	0													
Recording7	Vīrietis	Nē	labrocis	Nē	Nē	Nē	35	Participant7	Blank	3	Blank	2	2033	173254		1150	575	2	593	2,65588	10,50831	0													
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	Blank	1	Blank	3	2017	90486		0		0				1	40,57	40,57	40,57		1,08	1,08	1,08	1,08	570	145,69	40,57	39,07	1,08
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	Blank	2	Blank	2	2017	93120		0		0				0													
Recording8	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant8	Blank	3	Blank	1	2000	95753		0		0				0													
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	Blank	1	Blank	2	2017	135058		0		0				0													
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	Blank	2	Blank	1	2000	137725		0		0				0													
Recording9	Vīrietis	Nē	labrocis	Nē	Nē	Nē	22	Participant9	Blank	3	Blank	3	2000	140375		0		0				0													
Recording10	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant10	Blank	1	Blank	1	2033	143462		563	563	1	563	4,1399	11,36533	0													
Recording10	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant10	Blank	2	Blank	3	2033	146545		717	717	1	717	3,71469	11,25235	1	112,28	112,28	112,28		2,6	2,6	2,6	2,6	1495	348,72	112,28	81,23	2,6
Recording10	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant10	Blank	3	Blank	2	2017	149795		1467	367	4	740	3,791	11,43469	4	115,89	37,49	209,36	81,85	3,24	0,75	5,72	12,95	35	199,19	57,85	48,73	0,75
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	Blank	1	Blank	3	2033	198413		0		0				1	90,73	90,73	90,73		1,71	1,71	1,71	1,71	666	133,71	90,73	70,17	1,71
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	Blank	2	Blank	1	2017	201079		723	723	1	723	2,74163	7,96755	2	78,14	38,81	117,48	55,63	1,7	0,74	2,65	3,4	623	94,06	117,48	83,03	2,65
Recording11	Vīrietis	Nē	labrocis	Nē	Jā	Nē	35	Participant11	Blank	3	Blank	2	2017	203713		0		0				0													
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	Blank	1	Blank	2	2017	170081		1610	322	5	333	3,01515	7,83685	4	64,77	31,04	94,08	27,33	1,14	0,6	1,63	4,54	528	36,57	94,08	72,12	1,63
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	Blank	2	Blank	1	2017	172731		1293	259	5	143	2,90792	7,4242	3	68,66	48,73	79,16	17,27	1,16	0,8	1,37	3,47	544	47,72	79,16	61,98	1,37
Recording12	Sieviete	Jā	labrocis	Nē	Jā	Nē	35	Participant12	Blank	3	Blank	3	2017	175981		800	267	3	77	3,00127	7,35363	2	69,86	63,8	75,93	8,58	1,25	1,22	1,28	2,5	717	27,89	75,93	59,54	1,28
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	Blank	1	Blank	3	2017	179331		1160	387	3	293	3,45372	10,33134	4	98,29	81,91	116,45	14,57	2,04	1,2	3,22	8,16	605	73,76	116,45	85,01	3,22
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	Blank	2	Blank	2	2017	181981		1280	427	3	750	3,42005	10,42493	2	121,11	106,78	135,45	20,27	2,11	1,95	2,27	4,22	1091	54,45	106,78	76,1	1,95
Recording13	Sieviete	Nē	labrocis	Nē	Jā	Nē	22	Participant13	Blank	3	Blank	1	2033	184631		813	407	2	337	3,16118	10,07913	3	148,87	91,67	222,79	67,14	3,84	1,98	6,48	11,51	575	88,37	222,79	130,84	6,48
